period,value
1997-10-24,40484
1997-10-31,41768
1997-11-07,40723
1997-11-14,40768
1997-11-21,39656
1997-11-28,40536
1997-12-05,41878
1997-12-12,42438
1997-12-19,42259
1997-12-26,43129
1998-01-02,43601
1998-01-09,45145
1998-01-16,45479
1998-01-23,46781
1998-01-30,46515
1998-02-06,47725
1998-02-13,47376
1998-02-20,48471
1998-02-27,48932
1998-03-06,49778
1998-03-13,49847
1998-03-20,50436
1998-03-27,49527
1998-04-03,49990
1998-04-10,48696
1998-04-17,48591
1998-04-24,48940
1998-05-01,49031
1998-05-08,48837
1998-05-15,46937
1998-05-22,48161
1998-05-29,49082
1998-06-05,48700
1998-06-12,47570
1998-06-19,48300
1998-06-26,47299
1998-07-03,46902
1998-07-10,47367
1998-07-17,45061
1998-07-24,46189
1998-07-31,46462
1998-08-07,45285
1998-08-14,45623
1998-08-21,44006
1998-08-28,43896
1998-09-04,43805
1998-09-11,44805
1998-09-18,45008
1998-09-25,45131
1998-10-02,43540
1998-10-09,43020
1998-10-16,42389
1998-10-23,41125
1998-10-30,43210
1998-11-06,43782
1998-11-13,43589
1998-11-20,43677
1998-11-27,43637
1998-12-04,43970
1998-12-11,44536
1998-12-18,43240
1998-12-25,42923
1999-01-01,42973
1999-01-08,44139
1999-01-15,43966
1999-01-22,44958
1999-01-29,45691
1999-02-05,47413
1999-02-12,48858
1999-02-19,50800
1999-02-26,50139
1999-03-05,50187
1999-03-12,49964
1999-03-19,50194
1999-03-26,47764
1999-04-02,47767
1999-04-09,49008
1999-04-16,46815
1999-04-23,48474
1999-04-30,47695
1999-05-07,49557
1999-05-14,49131
1999-05-21,48021
1999-05-28,47744
1999-06-04,47955
1999-06-11,46782
1999-06-18,43763
1999-06-25,44174
1999-07-02,44946
1999-07-09,45087
1999-07-16,43355
1999-07-23,43221
1999-07-30,43194
1999-08-06,43233
1999-08-13,43571
1999-08-20,42679
1999-08-27,42322
1999-09-03,41760
1999-09-10,45009
1999-09-17,45182
1999-09-24,44405
1999-10-01,43946
1999-10-08,44554
1999-10-15,42962
1999-10-22,43379
1999-10-29,42630
1999-11-05,41346
1999-11-12,39753
1999-11-19,39304
1999-11-26,39413
1999-12-03,41269
1999-12-10,41015
1999-12-17,41060
1999-12-24,40340
1999-12-31,40619
2000-01-07,39697
2000-01-14,39063
2000-01-21,42455
2000-01-28,43438
2000-02-04,41278
2000-02-11,43273
2000-02-18,44185
2000-02-25,43921
2000-03-03,45509
2000-03-10,44358
2000-03-17,44687
2000-03-24,46214
2000-03-31,46599
2000-04-07,46496
2000-04-14,46767
2000-04-21,46190
2000-04-28,46350
2000-05-05,44638
2000-05-12,44230
2000-05-19,43602
2000-05-26,43601
2000-06-02,43781
2000-06-09,44339
2000-06-16,45022
2000-06-23,45011
2000-06-30,45501
2000-07-07,44530
2000-07-14,44389
2000-07-21,45208
2000-07-28,43282
2000-08-04,43819
2000-08-11,43939
2000-08-18,43134
2000-08-25,42187
2000-09-01,43574
2000-09-08,42413
2000-09-15,41886
2000-09-22,41491
2000-09-29,40785
2000-10-06,41670
2000-10-13,41007
2000-10-20,40688
2000-10-27,40797
2000-11-03,40992
2000-11-10,40966
2000-11-17,40138
2000-11-24,39851
2000-12-01,39971
2000-12-08,40532
2000-12-15,40994
2000-12-22,40161
2000-12-29,40674
2001-01-05,41819
2001-01-12,45245
2001-01-19,45014
2001-01-26,45739
2001-02-02,47286
2001-02-09,46415
2001-02-16,48482
2001-02-23,48388
2001-03-02,49827
2001-03-09,49224
2001-03-16,49452
2001-03-23,49504
2001-03-30,49569
2001-04-06,49650
